lon	lat
138.029883392097	84
134.393519755733	84
130.75715611937	84
127.120792483006	84
123.484428846643	84
119.848065210279	84
116.211701573915	84
112.575337937552	84
108.938974301188	84
105.302610664824	84
101.666247028461	84
98.0298833920971	84
94.3935197557335	84
90.7571561193698	84
87.1207924830062	84
83.4844288466425	84
79.8480652102789	84
76.2117015739153	84
72.5753379375516	84
68.938974301188	84
65.3026106648244	84
61.6662470284607	84
58.0298833920971	84
54.3935197557335	84
50.7571561193698	84
47.1207924830062	84
43.4844288466426	84
39.8480652102789	84
36.2117015739153	84
32.5753379375517	84
28.938974301188	84
25.3026106648244	84
21.6662470284607	84
18.0298833920971	84
14.3935197557335	84
10.7571561193698	84
7.12079248300621	84
3.48442884664256	84
-0.151934789721062	84
-3.78829842608468	84
-7.42466206244832	84
-11.0610256988119	84
-14.6973893351756	84
-18.3337529715392	84
-21.9701166079028	84
-25.6064802442665	84
-29.2428438806301	84
-32.8792075169938	84
-36.5155711533574	84
-40.151934789721	84
-43.7882984260847	84
-47.4246620624483	84
-51.061025698812	84
-54.6973893351756	84
-58.3337529715392	84
-61.9701166079029	84
-65.6064802442665	84
-69.2428438806301	84
-72.8792075169938	84
-76.5155711533574	84
-80.151934789721	84
-83.7882984260847	84
-87.4246620624483	84
-91.061025698812	84
-94.6973893351756	84
-98.3337529715392	84
-101.970116607903	84
-105.606480244267	84
-109.24284388063	84
-112.879207516994	84
-116.515571153357	84
-120.151934789721	84
-123.788298426085	84
-127.424662062448	84
-131.061025698812	84
-134.697389335176	84
-138.333752971539	84
-141.970116607903	84
-145.606480244266	84
-149.24284388063	84
-152.879207516994	84
-156.515571153357	84
-160.151934789721	84
-163.788298426085	84
-167.424662062448	84
-171.061025698812	84
-174.697389335176	84
-178.333752971539	84
178.029883392097	84
174.393519755733	84
170.75715611937	84
167.120792483006	84
163.484428846643	84
159.848065210279	84
156.211701573915	84
152.575337937552	84
148.938974301188	84
145.302610664824	84
141.666247028461	84
138.029883392097	84
