lon	lat
124.6960913153	61
121.059727678936	61
117.423364042573	61
113.787000406209	61
110.150636769846	61
106.514273133482	61
102.877909497118	61
99.2415458607546	61
95.605182224391	61
91.9688185880274	61
88.3324549516637	61
84.6960913153001	61
81.0597276789365	61
77.4233640425728	61
73.7870004062092	61
70.1506367698455	61
66.5142731334819	61
62.8779094971183	61
59.2415458607546	61
55.605182224391	61
51.9688185880274	61
48.3324549516637	61
44.6960913153001	61
41.0597276789364	61
37.4233640425728	61
33.7870004062092	61
30.1506367698455	61
26.5142731334819	61
22.8779094971183	61
19.2415458607546	61
15.605182224391	61
11.9688185880274	61
8.33245495166372	61
4.6960913153001	61
1.05972767893645	61
-2.57663595742717	61
-6.21299959379082	61
-9.84936323015447	61
-13.4857268665181	61
-17.1220905028817	61
-20.7584541392453	61
-24.394817775609	61
-28.0311814119726	61
-31.6675450483363	61
-35.3039086846999	61
-38.9402723210636	61
-42.5766359574272	61
-46.2129995937908	61
-49.8493632301544	61
-53.4857268665181	61
-57.1220905028817	61
-60.7584541392454	61
-64.394817775609	61
-68.0311814119726	61
-71.6675450483363	61
-75.3039086846999	61
-78.9402723210635	61
-82.5766359574272	61
-86.2129995937908	61
-89.8493632301545	61
-93.4857268665181	61
-97.1220905028817	61
-100.758454139245	61
-104.394817775609	61
-108.031181411973	61
-111.667545048336	61
-115.3039086847	61
-118.940272321064	61
-122.576635957427	61
-126.212999593791	61
-129.849363230154	61
-133.485726866518	61
-137.122090502882	61
-140.758454139245	61
-144.394817775609	61
-148.031181411973	61
-151.667545048336	61
-155.3039086847	61
-158.940272321064	61
-162.576635957427	61
-166.212999593791	61
-169.849363230154	61
-173.485726866518	61
-177.122090502882	61
179.241545860755	61
175.605182224391	61
171.968818588027	61
168.332454951664	61
164.6960913153	61
161.059727678936	61
157.423364042573	61
153.787000406209	61
150.150636769846	61
146.514273133482	61
142.877909497118	61
139.241545860755	61
135.605182224391	61
131.968818588027	61
128.332454951664	61
124.6960913153	61
