1	3.36317752870873e-05
2	3.16912333959205e-05
3	3.06843591847366e-05
4	2.946874195917e-05
5	2.74069124442691e-05
6	2.64712639719219e-05
7	2.59379909102912e-05
8	2.53263197557315e-05
9	2.33602105178067e-05
10	2.2940830206558e-05
11	2.1490094120607e-05
12	2.11277010646445e-05
13	2.0243414559399e-05
14	1.99142708388246e-05
15	1.91484990717359e-05
16	1.79038959860563e-05
17	1.77317779342554e-05
18	1.62363909931062e-05
19	1.61811134311449e-05
20	1.58786885202806e-05
21	1.50954201665619e-05
22	1.46911063507177e-05
23	1.43018478664236e-05
24	1.37186309996743e-05
25	1.31221754015747e-05
26	1.29150470984264e-05
27	1.24619507640113e-05
28	1.20127972603389e-05
29	1.11563011799682e-05
30	1.06717127744075e-05
31	1.06489768048592e-05
32	1.01170309169046e-05
33	9.916331720958e-06
34	9.21878179482817e-06
35	8.61314618048481e-06
36	8.58210226465183e-06
37	8.42655100143806e-06
38	8.00358588191914e-06
39	7.81621687543166e-06
40	7.69880596940013e-06
41	7.5098695034661e-06
42	7.28013853234882e-06
43	6.98230701020564e-06
44	6.67811411536873e-06
45	6.29115645519308e-06
46	6.25308259622794e-06
47	5.77916455529997e-06
48	5.63311325538102e-06
49	5.42546713348328e-06
50	5.28060397715949e-06
51	5.26268558942484e-06
52	5.12826613038447e-06
53	4.88329087083123e-06
54	4.66770061098607e-06
55	4.53680296461766e-06
56	4.44007020823488e-06
57	4.27248098237114e-06
58	4.06739430142291e-06
59	3.99227061586253e-06
60	3.78564888575855e-06
61	3.6669118275345e-06
62	3.62343592732746e-06
63	3.39761101175837e-06
64	3.34125480005579e-06
65	3.19266307199572e-06
66	3.13577781568516e-06
67	2.96688880968666e-06
68	2.88908165969735e-06
69	2.76801594119467e-06
70	2.67353884904904e-06
71	2.60437382855758e-06
72	2.43124327069458e-06
73	2.39029663024876e-06
74	2.34749534878914e-06
75	2.29804012771857e-06
76	2.16923845417875e-06
77	2.1150597935782e-06
78	2.03088326810384e-06
79	1.91707435762386e-06
80	1.84246423444925e-06
81	1.67512444704397e-06
82	1.63184643619047e-06
83	1.60680010958063e-06
84	1.49286100994475e-06
85	1.45867002210757e-06
86	1.38718548527648e-06
87	1.31524484558441e-06
88	1.24447984512255e-06
89	1.21137408185649e-06
90	1.1310065159614e-06
91	1.06821029663457e-06
92	1.05301962798994e-06
93	1.02628543606581e-06
94	9.88955759194085e-07
95	9.61337650928965e-07
96	9.41044105878523e-07
97	8.95873597071419e-07
98	8.81251027886497e-07
99	8.63041087312306e-07
100	8.39973783845386e-07
101	7.8315657843724e-07
102	7.47294294843065e-07
103	7.26009433746978e-07
104	7.03986461956791e-07
105	6.99111684222447e-07
106	6.4292792439613e-07
107	6.15998213516648e-07
108	6.11687432085629e-07
109	6.05701568189074e-07
110	5.71726408092757e-07
111	5.40591602318706e-07
112	4.99266634425259e-07
113	4.53171231410725e-07
114	4.52057877102693e-07
115	4.22141336249727e-07
116	4.17757048126965e-07
117	4.00783908289809e-07
118	3.82683499425879e-07
119	3.75300959497695e-07
120	3.62301767764431e-07
121	3.52653200168421e-07
122	3.44489420867262e-07
123	3.23800445502733e-07
124	3.17259679176991e-07
125	3.09403612688755e-07
126	3.03453941501144e-07
127	2.85381483719559e-07
128	2.79030378671688e-07
129	2.72228627163852e-07
130	2.64244092037334e-07
131	2.51399798111991e-07
132	2.47861740917998e-07
133	2.41461695973924e-07
134	2.36453520881271e-07
135	2.23028011146649e-07
136	2.19878294240248e-07
137	2.19104353526128e-07
138	2.16469925964636e-07
139	2.13372087787169e-07
140	2.06702129449465e-07
141	2.04319474725849e-07
142	1.9784241297892e-07
143	1.94255394376985e-07
144	1.84372991863065e-07
145	1.7795764633815e-07
146	1.69114014188207e-07
147	1.61651546537996e-07
148	1.57455840925851e-07
149	1.54511583690279e-07
150	1.47906831578415e-07
151	1.44254989024589e-07
152	1.34737289824629e-07
153	1.31907454869909e-07
154	1.30445496004089e-07
155	1.26610262370933e-07
156	1.22073939630507e-07
157	1.19199670083757e-07
158	1.11144148907087e-07
159	1.05461684041795e-07
160	1.02494581935302e-07
161	9.89718410143053e-08
162	9.50625846515464e-08
163	9.18751044271588e-08
164	9.11284449794543e-08
165	8.99530190414488e-08
166	8.60918857848869e-08
167	8.53247399607913e-08
168	8.29075949274058e-08
169	7.95408119781577e-08
170	7.71818950051544e-08
171	7.60791560420418e-08
172	7.20308285340872e-08
173	7.00031813442608e-08
174	6.73089049881508e-08
175	6.52817305495586e-08
176	6.45589943798045e-08
177	6.20163366055218e-08
178	6.10419814096396e-08
179	5.8493875006564e-08
180	5.71955024950364e-08
181	5.4142534973128e-08
182	5.19087405648301e-08
183	5.1549296605748e-08
184	4.81831631055122e-08
185	4.28872783575235e-08
186	4.20225362618736e-08
187	4.04952948950026e-08
188	3.91418159215363e-08
189	3.84564601416469e-08
190	3.6918314618651e-08
191	3.56721330241662e-08
192	3.36172394587922e-08
193	3.32019248748239e-08
194	3.12705596402866e-08
195	3.01535844795466e-08
196	2.94480127091225e-08
197	2.8523093593577e-08
198	2.78275677178132e-08
199	2.66929045020665e-08
200	2.54584847403363e-08
201	2.48947814549018e-08
202	2.4590862777653e-08
203	2.34948950574991e-08
204	2.21873539641099e-08
205	2.09856509053784e-08
206	2.06866067520975e-08
207	1.9500400011023e-08
208	1.90403904757471e-08
209	1.82468289862309e-08
210	1.79380509169407e-08
211	1.71980845137785e-08
212	1.56771595884057e-08
213	1.48653361416483e-08
214	1.40194317121832e-08
215	1.36225449898474e-08
